章节,章节名称,单词,音标(美式音标),词性,中文意思
Lesson 1,Excuse me! 对不起！,excuse,/ɪkˈskjuːz/,v.,原谅
,,me,/miː/,pron.,我(宾格)
,,yes,/jes/,adv.,是的
,,is,/ɪz/,v.,be动词现在时第三人称单数
,,this,/ðɪs/,pron.,这
,,your,/jɔːr/,possessive adjective,你的，你们的
,,handbag,/ˈhændbæɡ/,n.,(女用)手提包
,,pardon,/ˈpɑːrdn/,int.,原谅，请再说一遍
,,it,/ɪt/,pron.,它
,,thank you,/θæŋk juː/,phrase,感谢你(们)
,,very much,/ˈveri mʌtʃ/,phrase,非常地
Lesson 2,Is this your...? 这是你的吗？,pen,/pen/,n.,钢笔
,,pencil,/ˈpensl/,n.,铅笔
,,book,/bʊk/,n.,书
,,watch,/wɑːtʃ/,n.,手表
,,coat,/koʊt/,n.,上衣，外衣
,,dress,/dres/,n.,连衣裙
,,skirt,/ˈskɜːrt/,n.,裙子
,,shirt,/ˈʃɜːrt/,n.,衬衣
,,car,/kɑːr/,n.,小汽车
,,house,/haʊs/,n.,房子
Lesson 3,Sorry, sir. 对不起，先生,umbrella,/ʌmˈbrelə/,n.,伞
,,please,/pliːz/,int.,请
,,here,/hɪr/,adv.,这里
,,my,/maɪ/,possessive adjective,我的
,,ticket,/ˈtɪkɪt/,n.,票
,,number,/ˈnʌmbər/,n.,号码
,,five,/faɪv/,num.,五
,,sorry,/ˈsɔːri/,adj.,对不起的
,,sir,/ˈsɜːr/,n.,先生
,,cloakroom,/ˈkloʊkruːm/,n.,衣帽存放处
Lesson 4,Is this your...? 这是你的吗？,suit,/suːt/,n.,一套衣服
,,school,/skuːl/,n.,学校
,,teacher,/ˈtiːtʃər/,n.,老师
,,son,/sʌn/,n.,儿子
,,daughter,/ˈdɔːtər/,n.,女儿
Lesson 5,Nice to meet you. 很高兴见到你,Mr.,/ˈmɪstər/,n.,先生
,,good,/ɡʊd/,adj.,好
,,morning,/ˈmɔːrnɪŋ/,n.,早晨
,,Miss,/mɪs/,n.,小姐
,,new,/nuː/,adj.,新的
,,student,/ˈstuːdnt/,n.,学生
,,French,/frentʃ/,adj.&n.,法国的；法国人
,,German,/ˈdʒɜːrmən/,adj.&n.,德国的；德国人
,,nice,/naɪs/,adj.,美好的
,,meet,/miːt/,v.,遇见
,,Japanese,/ˌdʒæpəˈniːz/,adj.&n.,日本的；日本人
,,Korean,/kəˈriən/,adj.&n.,韩国的；韩国人
,,Chinese,/ˌtʃaɪˈniːz/,adj.&n.,中国的；中国人
,,too,/tuː/,adv.,也
Lesson 6,What make is it? 它是什么牌子的？,make,/meɪk/,n.,(产品的)牌子
,,Swedish,/ˈswiːdɪʃ/,adj.&n.,瑞典的；瑞典人
,,English,/ˈɪŋɡlɪʃ/,adj.&n.,英国的；英国人
,,American,/əˈmerɪkən/,adj.&n.,美国的；美国人
,,Italian,/ɪˈtæliən/,adj.&n.,意大利的；意大利人
,,Volvo,/ˈvoʊlvoʊ/,n.,沃尔沃
,,Peugeot,/ˈpɜːʒoʊ/,n.,标致
,,Mercedes,/mɜːrˈseɪdɪz/,n.,梅赛德斯
,,Toyota,/toʊˈjoʊtə/,n.,丰田
,,Daewoo,/ˈdeɪwuː/,n.,大宇
,,Mini,/ˈmɪni/,n.,迷你
,,Ford,/fɔːrd/,n.,福特
,,Fiat,/ˈfiːæt/,n.,菲亚特
Lesson 7,Are you a teacher? 你是教师吗？,I,/aɪ/,pron.,我
,,am,/æm/,v.,be动词现在时第一人称单数
,,are,/ɑːr/,v.,be动词现在时复数
,,name,/neɪm/,n.,名字
,,what,/wɑːt/,pron.,什么
,,nationality,/ˌnæʃəˈnæləti/,n.,国籍
,,job,/dʒɑːb/,n.,工作
,,keyboard,/ˈkiːbɔːrd/,n.,键盘
,,operator,/ˈɑːpəreɪtər/,n.,操作人员
,,engineer,/ˌendʒɪˈnɪr/,n.,工程师
Lesson 8,What's your job? 你是做什么工作的？,policeman,/pəˈliːsmən/,n.,警察
,,policewoman,/pəˈliːswʊmən/,n.,女警察
,,taxi driver,/ˈtæksi ˈdraɪvər/,n.,出租车司机
,,air hostess,/ˈer hoʊstəs/,n.,空中小姐
,,postman,/ˈpoʊstmən/,n.,邮递员
,,nurse,/ˈnɜːrs/,n.,护士
,,mechanic,/məˈkænɪk/,n.,机械师
,,housewife,/ˈhaʊswaɪf/,n.,家庭妇女
,,hairdresser,/ˈherdresər/,n.,理发师
,,milkman,/ˈmɪlkmən/,n.,送牛奶的人
Lesson 9,How are you today? 你今天好吗？,hello,/həˈloʊ/,int.,喂(表示问候)
,,hi,/haɪ/,int.,喂，嗨
,,how,/haʊ/,adv.,怎样
,,today,/təˈdeɪ/,adv.,今天
,,well,/wel/,adj.,身体好
,,fine,/faɪn/,adj.,美好的
,,thanks,/θæŋks/,int.,谢谢
,,goodbye,/ˌɡʊdˈbaɪ/,int.,再见
,,see,/siː/,v.,见
Lesson 10,Look at... 看……,fat,/fæt/,adj.,胖的
,,woman,/ˈwʊmən/,n.,女人
,,thin,/θɪn/,adj.,瘦的
,,tall,/tɔːl/,adj.,高的
,,short,/ʃɔːrt/,adj.,矮的
,,dirty,/ˈdɜːrti/,adj.,脏的
,,clean,/kliːn/,adj.,干净的
,,hot,/hɑːt/,adj.,热的
,,cold,/koʊld/,adj.,冷的
,,old,/oʊld/,adj.,老的
,,young,/jʌŋ/,adj.,年轻的
,,busy,/ˈbɪzi/,adj.,忙的
,,lazy,/ˈleɪzi/,adj.,懒的
Lesson 11,Is this your shirt? 这是你的衬衫吗？,whose,/huːz/,pron.,谁的
,,blue,/bluː/,adj.,蓝色的
,,perhaps,/pərˈhæps/,adv.,大概
,,white,/waɪt/,adj.,白色的
,,catch,/kætʃ/,v.,抓住
Lesson 12,Whose is this...? 这……是谁的？,father,/ˈfɑːðər/,n.,父亲
,,mother,/ˈmʌðər/,n.,母亲
,,blouse,/blaʊz/,n.,女衬衫
,,sister,/ˈsɪstər/,n.,姐，妹
,,tie,/taɪ/,n.,领带
,,brother,/ˈbrʌðər/,n.,兄，弟
,,his,/hɪz/,possessive adjective,他的
,,her,/hɜːr/,possessive adjective,她的
Lesson 13,A new dress 一件新连衣裙,colour,/ˈkʌlər/,n.,颜色
,,green,/ɡriːn/,adj.,绿色
,,come,/kʌm/,v.,来
,,upstairs,/ˌʌpˈsterz/,adv.,楼上
,,smart,/smɑːrt/,adj.,时髦的，巧妙的
,,hat,/hæt/,n.,帽子
,,same,/seɪm/,adj.,相同的
,,lovely,/ˈlʌvli/,adj.,可爱的，秀丽的
Lesson 14,What colour is your...? 你的……是什么颜色的？,case,/keɪs/,n.,箱子
,,carpet,/ˈkɑːrpɪt/,n.,地毯
,,dog,/dɔːɡ/,n.,狗
Lesson 15,Your passports, please. 请出示你们的护照,customs,/ˈkʌstəmz/,n.,海关
,,officer,/ˈɔːfɪsər/,n.,官员
,,girl,/ɡɜːrl/,n.,女孩，姑娘
,,Danish,/ˈdeɪnɪʃ/,adj.&n.,丹麦的；丹麦人
,,friend,/frend/,n.,朋友
,,Norwegian,/nɔːrˈwiːdʒən/,adj.&n.,挪威的；挪威人
,,passport,/ˈpæspɔːrt/,n.,护照
,,brown,/braʊn/,adj.,棕色的
,,tourist,/ˈtʊrɪst/,n.,旅游者
Lesson 16,Are you...? 你们是……吗？,Russian,/ˈrʌʃn/,adj.&n.,俄罗斯的；俄罗斯人
,,Dutch,/dʌtʃ/,adj.&n.,荷兰的；荷兰人
,,these,/ðiːz/,pron.,这些(this的复数)
,,red,/red/,adj.,红色的
,,grey,/ɡreɪ/,adj.,灰色的
,,yellow,/ˈjeloʊ/,adj.,黄色的
,,black,/blæk/,adj.,黑色的
,,orange,/ˈɔːrɪndʒ/,adj.,橘黄色的
Lesson 17,How do you do? 你好！,employee,/ɪmˈplɔɪiː/,n.,雇员
,,hard-working,/ˌhɑːrd ˈwɜːrkɪŋ/,adj.,勤奋的
,,sales reps,/ˈseɪlz reps/,n.,推销员
,,man,/mæn/,n.,男人
,,office,/ˈɔːfɪs/,n.,办公室
,,assistant,/əˈsɪstənt/,n.,助手
Lesson 18,What are their jobs? 他们是做什么工作的？,matter,/ˈmætər/,n.,事情
,,children,/ˈtʃɪldrən/,n.,孩子们(child的复数)
,,tired,/ˈtaɪərd/,adj.,累，疲乏
,,boy,/bɔɪ/,n.,男孩
,,thirsty,/ˈθɜːrsti/,adj.,渴
,,sit down,/ˈsɪt daʊn/,phrase,坐下
,,right,/raɪt/,adj.,好，可以
,,ice cream,/ˈaɪs kriːm/,n.,冰淇淋
Lesson 19,Tired and thirsty 又累又渴,big,/bɪɡ/,adj.,大的
,,small,/smɔːl/,adj.,小的
,,open,/ˈoʊpən/,adj.,开着的
,,shut,/ʃʌt/,adj.,关着的
,,light,/laɪt/,adj.,轻的
,,heavy,/ˈhevi/,adj.,重的
,,long,/lɔːŋ/,adj.,长的
,,shoe,/ʃuː/,n.,鞋子
,,grandfather,/ˈɡrænfɑːðər/,n.,祖父，外祖父
,,grandmother,/ˈɡrænmʌðər/,n.,祖母，外祖母
Lesson 20,Look at them! 看看他们！,give,/ɡɪv/,v.,给
,,one,/wʌn/,pron.,一个
,,which,/wɪtʃ/,pron.,哪一个
Lesson 21,Which book? 哪一本书？,empty,/ˈempti/,adj.,空的
,,full,/fʊl/,adj.,满的
,,large,/lɑːrdʒ/,adj.,大的
,,little,/ˈlɪtl/,adj.,小的
,,sharp,/ʃɑːrp/,adj.,尖的，锋利的
,,blunt,/blʌnt/,adj.,钝的
,,box,/bɑːks/,n.,盒子，箱子
,,glass,/ɡlæs/,n.,杯子
,,cup,/kʌp/,n.,茶杯
,,bottle,/ˈbɑːtl/,n.,瓶子
,,tin,/tɪn/,n.,罐头
,,knife,/naɪf/,n.,刀子
,,fork,/fɔːrk/,n.,叉子
Lesson 22,Give me/him/her/us/them a... 给我/他/她/我们/他们一……,on,/ɑːn/,prep.,在……之上
,,shelf,/ʃelf/,n.,架子，搁板
